name,price,description,image,category_id
"Điện thoại Samsung Galaxy S25, Điện thoại AI, Tìm kiếm thông minh, Video camera đêm Nightography, Chip Snapdragon - Hàng Chính Hãng",15490000,,https://salt.tikicdn.com/cache/280x280/ts/product/3a/f1/92/26171c22498fcfa3f602d8666f239eae.jpg,1789
Điện thoại Xiaomi Redmi Note 14 6GB/128GB - Hàng Chính Hãng,3790000,,https://salt.tikicdn.com/cache/280x280/ts/product/0b/fb/e0/8b6b96db507c4d58a84c021a2f10bd34.png,1789
"Điện thoại ZTE Libero 5G IV - 4GB/128GB Dimensity 700 , Kháng nước IP67 , Sạc nhanh 22,5W - Mới nguyên seal - Hàng nhập khẩu",2199000,,https://salt.tikicdn.com/cache/280x280/ts/product/81/00/e6/90ead980cb6221148ca246fc9c14e623.jpg,1789
Máy Tính Bảng Samsung Galaxy Tab A9 Plus Wifi 4GB/64GB - Đã Kích Hoạt Bảo Hành Điện Tử - Hàng Chính Hãng,3520000,,https://salt.tikicdn.com/cache/280x280/ts/product/11/05/33/c86a2665b38da0da05c3dde562cf022c.png,1789
iPhone 15,17250000,,https://salt.tikicdn.com/cache/280x280/ts/product/6c/6c/9e/f3464d16a782e0d9ed5f74d98f155642.png,1789
Điện Thoại Nokia 105 4G Pro - Hàng Chính Hãng,768000,,https://salt.tikicdn.com/cache/280x280/ts/product/61/c1/bc/e622f228caee685ecadda0d275987c72.png,1789
Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng,4090000,,https://salt.tikicdn.com/cache/280x280/ts/product/91/e7/7e/24461c4d1f848b11eaa4ff444f1ec5f9.jpg,1789
Apple iPhone 14,13750000,,https://salt.tikicdn.com/cache/280x280/ts/product/3b/95/ec/5b2c7ec0e09565f399a0a184bd71696b.png,1789
Điện thoại bàn Panasonic KX-TGF310 hàng chính hãng,2350000,,https://salt.tikicdn.com/cache/280x280/ts/product/dc/72/f9/bbe51405ebc1681123970efd01f32163.jpg,1789
Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,320000,,https://salt.tikicdn.com/cache/280x280/ts/product/be/09/b7/55917b01ae380cdb1e6acce0ae683370.jpg,1789
Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3990000,,https://salt.tikicdn.com/cache/280x280/ts/product/14/2f/c6/a161edd03cf817a13d4c3255d1467f0a.jpg,1789
